ID,Manx,English,
series 92,S'mie lhiam yn traie ayns Purt ny h-Inshey, , 
series 93,S'mie lhiam yn traie ayns Purt ny h-Inshey. Nagh vel eh yindyssagh?,,
series 94,S'mie lhiam gee kay-riojey shocklaid er y traie ayns Purt ny h-Inshey,, 
series 95,S'mie lhiam curree agh share lhiam kay riojey shocklaid,,
series 96,Nagh vel eh yindyssagh gee kay riojey er y traie ayns Purt ny h-Inshey,,
series 97,By vie lhiat kay riojey? , Would you like an ice cream? ,
series 98,Ren mee goll dys Doolish Jesarn , I went to Douglas on Saturday ,
series 99,Ren mee goll dys thie-bee ayns Doolish Jedoonee,,
series 100,Ren mee goll dys yn thie-tashtee ayns Doolish Jelune ,,
series 101,Ren mee goll dys yn thie-fillym ayns Doolish Jemayrt , I went to the cinema in Douglas on Jemayrt,
series: 102,Ren mee goll dys yn thie-ellyn ayns Doolish Jecrean ,,
series: 103,Ren mee goll thie-caffee ayns Doolish Jerdein,,
series: 104,Ren mee goll shappal ayns Doolish Jeheiney,,
series: 105,Ren mee gynsaghey ram Gaelg Jesarn as Jedoonee,,
series: 106,Cre'n laa ren oo gynsaghey Gaelg? ,,
series: 107,Cre oddys oo jannoo ayns Rhumsaa?,,
series: 108,Cre oddys oo kionnaghey ayns Rhumsaa?,,
series: 109,Nod oo fakin yn droghad?,,
series: 110,Nod oo fakin Kione Vraddda?,,
series: 111,Foddym snaue feer vie,,
series: 112,Foddym snaue feer vie agh cha nel mee geearree snaue nish,,
series: 113,Foddym snaue agh cha noddym snaue gollrish eeast,,
series: 114,Foddym snaue gollrish perkin,,
series: 115,Foddym snaue gollrish perkin as foddym loayrt boghtynid,,
series: 116,"Noddym geddyn spollag? Cha nod, gow my leshtal ",,
series: 117,By vie lhiat spollag? By vie,,
series: 118,"Cre by vie lhiat gee nish? Tooilley spollagyn, my sailt",,
series: 119,"Cre by vie lhiat giu nish? By vie lhiam ushtey, my sailt",,
series: 120,Nod oo fakin yn Cholloo?,,
series: 121,Ta'n cheayn beggan garroo jiu,The sea is a little rough today,
series: 122,Ta'n cheayn beggan garroo son snaue jiu,,
series: 123,Foddym snaue agh cha noddym snaue gollrish raun,,
series: 124,Er-lhiam dy vel eh ro-gharroo son Gobbag Vooar,,
series 125,"Mish Ali, shoh my vac, Fraser "," I'm Ali, this is my son, Fraser ",
series 126,"Mish Jenny, shoh my inneen, Dotty ",,
series 127,Mish Jenny. Ta daa phaitchey aym , I'm Jenny. I have two children ,
series 128,Mish Ali. Ta daa vac aym , I'm Ali. I have two sons ,
series 129,Shoh un vuc ayns muclagh,,
series 130,Shoh daa vuc ayns muclagh,,
series 131,"Un vuc, daa vuc, tree muckyn",,
series 132,Vel uss cummal gollrish muc ayns muclagh? ,,
series 133,"Vel braar ayd? Ta, ta un vraar ayms",,
series 134,Vel shuyr ayd? Ta un shuyr ayms,,
series 135,Vel shuyr ayd?  Cha nel shuyr ayms agh ta braar ayms,,
series 136,"Vel braar ayd? Ta, ta daa vraar aym",,
series 137,"Vel shuyr ayd? Ta, ta daa huyr aym",,
series 138,"Vel biggin ayd? Ta, ta daa chabbyl aym as daa chayt aym",,
series 139,Vel biggin ayd? Ta un voddey ayms,,
series 140,Ta'n keyrrey Loaghtan jeeaghyn beggan danjeyragh,,
series 141,Shoh muc ayns muclagh,,
series 142,Mie lhiat ny ratchyn TT? , Do you like the TT races?,
series: 143,Ta ny roaryn bree beggan feiyral,,
series 144,Cha nel oo lowit ayns shoh,,
series 145,Nagh vel yn twoaie jeeaghyn yindyssagh nish?,,
series at the races,TT aboo!,Hurrah for the races,
series at the races 02,S'mie lhiam ratchal , I like racing  ,
series at the races 03,S'mie lhiam Mannin , I like the Isle of Man ,
series at the races 04,"Fastyr mie, mish....",,
series at the races 05,S'mie lhiam Syndey...Syndey aboo! ,,
series at the races 06,Ta mee feer tappee , I'm very quick,
series at the races 07,Shoh my roar-bree, this is my motorbike,
series at the races 08,Ta mee cummal ayns Kiondroghad , I live in Onchan,
series at the races 09,Shoh my roar-bree. Nagh vel eh yindyssagh?,,
series at the races 10,Mannin aboo! Falkirk aboo!,,
series at the races 11,Hee'm shiu , I'll see you,
series at the races 12,S'mie lhiam TT ,,
series 158,The months of the year in Manx,,
series 159,Ta mee goll shappal nish er y fa dy vel mee geearree kionnaghey bainney,,
series 160,Ta mee goll shappal nish er y fa dy vel mee geearree kionnaghey bainney as arran,,
series 161,Ta mee goll shappal nish er y fa dy vel mee geearree kionnaghey bainney eeym as arran,,
series 162,"Ta mee goll shappal nish er y fa dy vel mee geearree kionnaghey bainney, eeym, arran as eeast",,
series 163,Ta ram smook ayn , There's loads of smoke,
series 164,Er-lhiam dy jean yn traen goll dys Doolish nish,,
series 165,Ta'n traen  gimmeeaght dys Doolish nish,,
series 166,Ta'n traen goll dys Doolish agh ta mish goll dys yn thie-lhionney,,
series 167,Ren mee cheet dys Doolish er y traen jiu,,
series 168,"S'mie lhiam yn traen, t'eh yindyssagh ",,
series 169,"Ta mee goll dys Rhumsaa, cha nel mee goll er y traen, ta mee goll er y varroose",,
series 170,Cre share lhiat: traen ny baatey?,,
series 171,Jagh oo dys Crosby jea? Cha jagh,,
series 172,Jagh oo dys Doolish jea? Hie ,,
series 173,Jagh oo dys Doolish jea? Hie. ,,
series 174,Vaik oo Cesar jea? Honnick,,
series 175,Vaik oo Cesar Jesarn? Cha vaik,,
series 176,Vaik oo yn Moddey Doo jea ayns Purt ny h-Inshey? Honnick,,
series 177,Vaik oo yn Moddey Doo jea ayns Purt ny h-Inshey?,,
series 178,Vaik oo yn Moddey Doo ayns Purt le Moirrey jea? ,,
series 179,Craad hie oo jea? Hie mee dys Crosby,,
series 180,Cre nee oo mairagh my vees eh grianagh?,,
series 181,Cre nee oo ec yn jerrey shiaghtin my vees eh grianagh?,,
series 182,Jean oo cheet dys Rhumsaa my vees eh grianagh?,,
series 183,Jean oo tannaghtyn sthie my vees eh fliugh?,,
series 184,Ta Hall Caine oanluckit ayns shoh,,
series 185,Vel oo rieau er lhiah lioar Hall Caine?,,
series 186,Vel oo rieau er nakin ny croshyn shoh?,,
series 187,Quoi ren ny croshyn shoh?,,
series 188,Vel oo rieau er ve ayns Skylley Maghal?,,
series 189,Ta mee toiggal beggan Gaelg , I understand a little Manx ,
series: 190,"Mish Juan, shoh my inneen, Charlotte...ta mee braew",,
series 191,Ta mee cummal ayns Croit e Caley,,
series 192,S'mie lhiam yn jiass,I like the south,
series 193,keayrt dy row,once a upon a time ,
series 194,S'mie lhiam goaill arrane , I like singing ,
series 195,S'mie lhiam goaill arrane ayns Gaelg , I like singing in Manx ,
series 196,T'eh yindyssagh goaill arrane ayns Gaelg ,,
series: 197,S'mie lhiam kiaull Manninagh , I like Manx music ,
series: 198,Nagh mie lhiat kiaull Manninagh? , Don't you like Manx music? ,
series: 199,Shoh my viol , this is my violin ,
series: 200,Ta mish ayns Balley Keeill Eoin cloie kiaull ,,
series: 201,Ta Kiaull Manninagh yindyssagh , Manx music is wonderful ,
series: 202,T'eh grianagh as cheh jiu,it's sunny and hot today ,
series: 203,Shegin dou cloie kiaull nish , I have to play music now ,
series; 204,She Wiggynnagh mish , I'm a Viking  ,
series: 205,C'raad ta ny berreenyn? , Where are the cakes? ,
series 206,Ta mee geearree ram berreenyn , I want a lot of cakes,
series 207,Vel oo geearree berreen? , Do you want a cake? ,
series: 208,Nagh vel ny berreenyn jeeaghyn yindyssagh?,,
series: 209,"Un verreen, daa verreen, tree berreenyn ",,
series: 210,Craad bare lhiat cummal: Yn Cholloo ny Doolish?,,
series: 211,Craad bare lhiat cummal: Yn Cholloo ny LA?,,
series: 212,Craad bare lhiat shappal: Yn Cholloo ny Paris?,,
series: 213,Bee oo ayns Purt le Moirrey mairagh? S'treisht lhiam dy beeym,,
series 214,Bee oo ayns Rhumsaa mairagh? S'treisht lhiam nagh beeym,,
series 215,Er-lhiam dy bee eh braew as grianagh mairagh,,
series: 216,S'liklee dy bee eh feayr er y twoaie mairagh,,
series: 217,Ta mee shickyr dy bee eh grianagh ayns Purt le Moirrey Jesarn,,
series: 218,Cre gollrish vees yn emshyr mairagh? Bee eh braew,,
series: 219,Cre gollrish vees yn emshyr mairagh? Er-lhiams dy bee eh fliugh,What will the weather be like tomorrow? I think it will be wet,
series: 220,"Soie sheese, my sailt "," Sit down, please",
series: 221,"Shass seose, my sailt  "," Stand up, please",
series: 222,"Foshil yn giat, my sailt "," Open the gate, please ",
series: 223,"Cur yn bluckan dou, my sailt "," Give me the ball, please",
series: 224,"Cur yn bluckan dou, my sailt (Gura mie ayd) ", ,
series: 225,Cur yn bluckan er yn chione , Put the ball on the head ,
series: 226,"Insh dou dty ennym, my sailt "," Tell me your name, please",
series: 227,"Insh dou c'raad t'ou cummal, my sailt ", ,
series: 228,Ec y scoill shoh s'mie lhien cloie Hockee ,,
series: 229,Jeeagh er ny blaaghyn shoh , Look at these flowers,
series: 230,"Soie sheese er y vink , my sailt "," Sit down on the bench , please",
series: 231,"Cur dou yn gansee, my sailt "," Give me the jumper, please   ",
series: 232,Shegin dooin goll nish , We have to go now,
series: 233,Ta shin goll dy valley nish , We're going home now ,
series: 234,"Soie sheese er y laare, my sailt "," sit down on the floor , please",
series: 235,C'raad ta Louis? , Where is Louis?,
series: 236,Hee'm shiu reesht ec y Vunscoill , See you again at the Bunscoill ,
series: 237,"S'mie lhiam Doolish agh cha nel mee geearree cummal ayns Doolish, share lhiam Purt ny h-inshey", ,
series: 238,Ta mee ayns Purt ny h-Inshey jiu agh va mee ayns Purt le Moirrey jea,,
series: 239,Cha nel mee ayns Colby nish as cha row mee ayns Colby jea,,
series: 240,Cha nel mee ayns Colby nish as cha row mee ayns Colby jea as cha beeym ayns Colby mairagh,,
series: 241,Ta mee ayns Doolish jiu agh va mee ayns Purt le Moirrey jea,,
series: 242,Ta mee ayns Doolish jiu agh va mee ayns Purt le Moirrey jea as beeym ayns Colby mairagh,,
series: 243,Cha nel mee ayns Colby jiu as cha row mee ayns Colby jea as cha beeym ayns Colby mairagh,,
series: 244,She eeasteyr mish , I'm a fisherman ,
series: 245,S'mie lhiam gobbraghey er y cheayn ,,
series: 246,Nod oo fakin my vaatey? She er my chooyl ayns shoh,,
series: 247,V'eh yindyssagh er y cheayn jiu ,,
series: 248,Ta mee my haaue nish as s'mie lhiam goll magh eeastagh,,
series: 249,V'eh beggan rastagh er y cheayn jiu ,,
series: 250,Mie lhiat breck ny marrey?,,
series: 251,Cre'n sorch eeast s'mie lhiat? , what type of fish do you like?,
series: 252,Shoh my charrey Davy , here's my friend Davy,
series: 253,Cha nel mee ayns Colby nish ta mee ayns Purt ny h-Inshey,,
series : 254,Ta mee ayns Purt ny h-inshey jiu as t'eh beggan feayr  ,,
series: 255,T'eh beggan feayr agh cha nel eh ceau fliaghey ,,
series: 256,T'eh feayr agh cha nel eh rastagh ,,
series: 257,Cha nel eh ro-olk ayns Purt ny h-Inshey jiu,,
series: 258,Ta mee feayr jiu agh ta mee maynrey,,
series: 259,T'eh jeeaghyn yindyssagh ayns Purt ny h-Inshey jiu ,,
series: 260,T'eh feayr agh chirrym jiu , It's cold but dry today,
series: 261,T'eh feayr agh chirrym jiu as cha nel eh fliugh ,,
series: 262,Cha nel eh ceau sniaghtey ayns Purt ny h-Inshey jiu,,
series: 263,T'eh beggan grianagh jiu agh bodjallagh , It's a little sunny today but cloudy ,
series: 264,Shoh skeeal mychione daa vuggane ,,
series: 265,"Keayrt dy row, va buggane cummal dy kiune er y cheu heear jeh slieau",,
series: 266,"Ny keayrtyn, loayr ny bugganeyn ry-cheilley trooid towl sy clieau",,
series: 267,"Fastyr beg dy row, deam y chied vuggane trooid y towl",,
series: 268,She ommidan uss! Deam yn nah vuggane erash,,
series: 269,"Ny cur ommidan orryms, toot mooar as uss, er nonney bee corree ayms ort! ",,
series: 270,Va'n buggane elley boirit syn aght cheddin as s'olk va'n cadley echey,,
series: 271,"Deam eh trooid y towl. She blebbin uss! Dooist oo, ta'n oie goll ersooyl",,
series: 272,"T'ou uss bolvaneagh, she'n laa ta cheet stiagh",,
series: 273,"Lhiggey boght vock bouyran roauyr myr t'ou, deam y chied vuggane",,
series: 274,Ren eh troggal clagh smoo as ren eh ceau shen erash,,
series: 275,"Boght dy bollagh, she meeyl mooar almoraght uss!",,
series: 276,Cha nel uss agh shenn ooyl ommidagh ta lane dy gheay,,
series: 277,As t'ou uss cho fliugh as bog as lhiannag arroo ta baiht ayns bainney gyere! ,,
series: 278,Y keayrt shoh ren en brebbal clagh vooar ass towse jus dy yannoo caghlaa,,
series: 279,Chouds va'n laa goll shaghey,,
series: 280,As ny faghidyn dy ve ny s'lhiurey as ny s'lhiurey,,
series: 281,Cha ren ny claghyn bentyn rish ny bugganeyn,,
series: 282,She brock geayshteenagh mooar-howshagh uss,,
series: 283,Deam yn chied vuggane myr v'eh ceau clagh elley,,
series: 284,As t'ou dty phie custart boght as breinn as moal as fud-y-cheilley jeh sluight ny baa bwee,,
series: 285,Ren yn clagh shen smoashal fy-yerrey yn ayrn s'jerree jeh'n clieau,,
series: 286,As son y chied cheayrt ,,
series: 287,Haghyr shoh kiart myr va'n ghrian goll dy lhie reesht,,
series: 288,Ouwatta! As yn chied vuggane , Ouwatta! Said the first buggane ,
series: 289,"Yindyssagh, ren yn nah vuggane scredey ",,
series: 290,"T'ou uss kiart, she'n laa ta goll ersooyl",,
series: 291,Hooyl ad stiagh dys mean y vrock va jeant oc ,,
series: 292,Va shen aitt dy liooar ren y chied vuggane giggleragh,,
series: 293,S'bastagh mychione y clieau,,
series: 294,Ta mee ayns Balley Chashtal. Ta cashtal ayn.,,
series : 295,295 T'eh grianagh ec y traa ayns Balley Chashtal,,
series: 296,Ta mee ayns Balley Chashtal agh shegin dou goll dys Colby nish,,
series: 297,Ta mee ayns Balley Chashtal agh er-lhiam dy nhegin dou goll dys Colby nish,,
series: 298,Cre shegin dhyt jannoo jiu? Shegin dou drappal seose Barrool,,
series: 299,Cre shegin dhyt jannoo jiu? Shegin dou goll shappal,,
series: 300,Ta mee ayns Balley Chashtal agh cha nel mee geearree tannaghtyn,,
series: 301,Veign maynrey cummal ayns Balley Chashtal,,
series: 302,Veagh eh yindyssagh cummal ayns Balley Chashtal,,
series: 303,Veagh eh yindyssagh cummal ayns Balley Chashtal agh veagh eh ny share cummal ayns Colby,,
series: 304,Beagh oo maynrey cummal ayns Purt Le Moirrey? Veign,,
series: 305,Beagh oo maynrey cummal ayns Purt Le Moirrey? Cha beign ,,
series: 306,Dy beign berchagh yinnin cummal ayns Rhumsaa,,
series: 307,Dy beign berchagh s'liklee dy jinnin cummal ayns Rhumsaa,,
series: 308,Craad yinnagh cummal dy beagh oo berchagh?,,
series: 309,Jinnagh oo cummal ayns Rhumsaa dy beagh oo berchagh?,,
series: 310,"Vel paays ort? Ta, ta paays mooar orryms",,
series: 311,C'red t'ou geearree? , What do you want? ,
series: 312,C'red t'ou geearree? , What do you want? ,
series: 313,C'red t'ou geearree gee nish? , What do you want now? ,
series: 314,Vel oo geearree jough? , Do you want a drink? ,
series: 315,Ta'n ennym orrym Ali as s'mie lhiam berreen , My name is Ali and I like cake,
series: 316,Shoh my verreen as s'mie lhiam berreen , This is my cake and I like cake,
series: 317,Shoh my charrey Ali as shoh my verreen , this is my friend Ali and this is my cake,
series:  318,C'red t'ou geearree jannoo jiu? , What do you want to do today?,
series: 319,Row oo ayns Doolish jea? , Were you in Douglas yesterday?,
series: 320,Va mee ayns Purt ny h-Inshey jea as ta mee ayns Purt ny h-Inshey jiu gee berreen,,
series: 321,S'mie lhiam gee berreen ayns Purt ny h-Inshey, ,
series: 322,S'mie lhiam loayrt Gaelg as gee berreen ayns Purt ny h-Inshey,,
series: 323,Shoh daa Wiggynnagh cloie feeal ,,
series: 324,S'liklee nagh jeanym shooyl er Raad ny Foillan nish ,,
series: 325,Cha jeanym shooyl er Raad ny Foillan nish er y fa dy vel mee litcheragh ,,
series: 326,Ta mee goll dys Rhumsaa nish er y fa dy vel mee geearree shappal,,
series: 327,Ta mee goll dys Rhumsaa nish er y fa dy vel mee geearree gee,,
series: 328,Ta mee goll dys Rhumsaa nish agh s'liklee dy jeanym gimman,,
series: 329,Ta mee goll dys Rhumsaa nish agh ta mee shickyr nagh jeanym shooyl,,
series:330,Ta murran orrym , I have a cold,
series: 331,Ta murran orrym agh ta mee dunnal , I have a cold but I'm brave,
series: 332,She Manninagh mish , I'm a Manx person / I'm Manx ,
series: 333,She Spanniagh mish , I am a Spaniard / a Southerner ,
series: 334,She Gobbag mish , I'm a Govvag / Person from Peel ,
series: 335,She Germaanagh mish , I'm German / German person ,
series: 336,Cha nee toot mish , I'm not a cry baby,
series: 337,Cha nee skeet mish , I'm not a gossip ,
series: 338,She Gaelgeyr mish , I am a Manx speaker ,
series: 339,Nee bleb uss ghooinney? , Are you a fool yessir? ,
series: 340,Vel oo rieau er nakin myn-changaroo?,,
series: 341,Vel oo rieau er nakin Buggane? , Have you ever seen a Wallaby?,
series: 342,Cha nel mee rieau er nakin Buggane , I have never seen a Buggane ,
series: 343,Cha nel mee rieau er nakin yn Moddey Doo as cha nel mee geearree ,I have never seen the Moddey Doo and I don't want to ,
series: 344,Ta shin ayns keeill ayns Balley Keeill Eoin ,,
series: 345,C'red t'ou geearree son yn Nollick? ,,
series: 346,Ta shoh Billey y Nollick yindyssagh ,,
series: 347,C'raad ta Jishag y Nollick? , Where is Father Christmas?,
series: 348,S'mie lhiam carvallyn , I like carols ,
series: 349,Vel oo goll dys yn cheeill mleeaney? ,,
series: 350,S'mie lhiam y Nollick , I like Christmas,
series: 351,S'mie lhiam Puddin y Nollick , I like Christmas Pudding ,
series: 352,S'mie lhiam shoh , I like this,
series: 353,She bochilley mish , I'm a Shepherd ,
series: 354,S'mie lhiam cloie Gitar , I like playing Guitar,
series: 355,Jishag y Nollick aboo! , Hurrah for Father Christmas,
series: 356,Ta mee jeeaghyn roym lesh y Nollick mleeaney , I'm looking forward to Christmas this year ,
series: 357,S'mie lhiam Berreen y Nollick , I like Christmas Cake ,
series: 358,Oie vie as caddil dy mie , Good night and sleep well,
series: 359,Nollick Ghennal as blein vie noa ,,
series: 360,S'mie lhiam goll Shelg y Drean,,
series: 361,Cre hooar oo voish Jishag y Nollick?,,
series: 362,Hooar mee ram reddyn mie son y Nollick,,
series: 363,S'mie lhiam cloie dub , I like playing pool ,
series: 364,Cha nel mee feer vie ec dub,,
