Topic,Speaker,Manx,English
part one 'the family',Phil Kelly,"Well, va my lught-thie voish Skylley Vraddan keeadyn dy vleeantyn er-dy-henney; boayl enmyssit Balley Quine, agh va shen creckit magh ass yn lught-thie aym's, well, erskyn keead blein er-dy-henney nish.","Well, my family were from Braddan parish hundreds of years ago; a place called Ballaquine, but that was sold out of my family, well, over a hundred years ago now."
part two 'free time',Davy Quillin,"Well, s'mie lhiam shooyl mygeayrt yn Ellan, well, cha nel shooyl mygeayrt yn Ellan - cha nel shen kiart - shooyl mygeayrt y Jiass, ec y chooid smoo jeh'n traa. Agh s'mie lhiam's jannoo studeyrys ayns y Ghaelg as studeyrys ayns y Ghallick, as ta shen my phastime, my t'ou laccal, cha nel mee shickyr jeh'n 'ockle kiart dy ghra, agh s'mie lhiam's jannoo shen. As s'mie lhiams, ny keayrtyn, goll ersooyl er laghyn seyrey. Ta mee goll dys y 'Rank dy chur shilley er my inneen. T'ee ish ayns yn ard-scoill ayns y 'Rank ec y traa t'ayn as bee my ven as mee hene ersooyl dy chur shilley urree ayns, er lhiam, mee ny ghaa. As va shinyn ersooyl ayns y Varcelona er laghyn seyrey neesht, mysh shey meeghyn er-dy-henney.","Well, I like walking around the Island, well, not walking around the Island - that's not right - walking around the South, most of the time. But I like studying Manx and studying Gallic, and that's my pastime, if you like, I'm not sure of the right word to say, but I like doing that. And I like, sometimes, going away on holiday. I'm going to France to visit my daughter. She is at university in France at the moment and my wife and myself will be away visiting her in, I think, a month or two. And we were away in Barcelona on holiday too, about six months ago."
part two 'free time',Peddyr Hayhurst,"Well, cha nel monney traa seyr aym's. Ta daa phaitçhey aym, myr dooyrt mee, so cha nel monney traa seyr aym's. Ta'n chooid smoo jeh'n traa seyr cloie marish ny paitçhyn, ny cloie bluckan-coshey, ny jannoo reddyn ny lhaih lioaryn marish ny paitçhyn. Agh traa t'ad cadley ta beggan dy hraa aym's as s'mie lhiam- yn red share aym's ta shen shooyl er y çheer. Tra nagh vel red erbee dy yannoo foddym shooyl er y çheer as goaill soylley jeh shen. Neesht, ta cloie kiaull. S'mie lhiam cloie kiaull marish my chaarjyn as marish Perree Bane, as ta shen feer vie neesht.","Well, I don't have much free time. I have two kids, as I said, so I don't have much free time. Most of the free time is playing with the kids, or playing football, or doing things or reading books with the kids. But when they're sleeping I have a little free time and I like- my favourite thing is walking in the country. When there's nothing to do I can walk in the country and enjoy that. Also, there's playing music. I like playing music with my friends and with Perree Bane, and that's very good too."
part two 'free time',Peddyr Cubberley,"Ayns y traa seyr aym s'mie lhiam jannoo kiaull, goll mygeayrt yn Ellan. S'mie lhiam yn reayrt çheerey, t'ou toiggal, as just goll er cosheeaght. Ta mee geearree goll geeastaght er y tourey, t'ou toiggal. As just jannoo veg, ghooinney, er lhimmey jeh- loayrt Gaelg, cloie kiaull, giu jough, as jannoo red erbee er lhimmey jeh obbyr, ghooinney.","In my free time I like making music, going around the Island. I like the landscape, you know, and just walking. I want to go fishing in the summer, you know. And just doing nothing, fella, except- speaking Manx, playing music, drinking, and doing anything except work, fella!"
part two 'free time',Claudia Koenig,"Well, s'mie lhiam jannoo ram reddyn ayns my traa seyr agh cha nel traa dy liooar aym dy yannoo ad. S'mie lhiam shooyl er ny crink, s'mie lhiam cloie bluckan coshey, s'mie lhiam goaill arrane, s'mie lhiam geaishtagh rish kiaull, goll dys y thie-fillym, goll dys y thie-cloie. S'mie lhiam lhaih, s'mie lhiam meeiteil rish caarjyn, s'mie lhiam goll dys y thie-bee, as stoo gollrish shen.","Well, I like doing a lot of things in my free time but I don't have enough time to do them. I like walking in the hills, I like playing football, I like singing, I like listening to music, going to the cinema, going to the theatre. I like reading, I like meeting up with friends, I like going to restaurants, and things like that."
part two 'free time',Adrian Cain,"Well, s'mie lhiam jannoo ram reddyn. S'mie lhiam goll magh shooyl son yn chooid smoo, as lhaih lioaryn as jannoo ram stoo gollrish shen. As s'mie lhiam jannoo stoo kyndagh rish yn çhengey, gyn dooyt erbee. Shegin dou gra nagh vel monney tra aym's nish son jannoo veg agh yn Ghaelg as cloie marish Orry, as s'mie lhiam jannoo shen, gyn dooyt erbee. As ny keayrtyn s'mie lhiam jeeaghyn er fillymyn but, myr dooyrt mee, cha nel monney tra aym's son shen nish. Atreih!","Well, I like doing a lot of things. I like to go out walking mostly, and reading books and doing lots of things like that. And I like doing things related to the language, definitely. I've got to say that I don't have much time for doing much but Manx and playing with Orry, and I like doing that, definitely. And sometimes I like to watch films but, as I said, I don't have much time for that. Sadly!"
part two 'free time',Julie Matthews,"Oh, ayns my traaghyn seyr s'mie lhiam crittal, as s'mie lhiam whaaley tra ta mee ayns y thie. As son stoo çheu-mooie s'mie lhiam shooyl, s'mie lhiam shooyl er ny sleityn. As s'mie lhiam daunley neesht. Ec y traa t'ayn ta mish as Chris goll - as Ealee - goll dys Doolish as ta shin daunley yn stoo Yernish, 'set' marish Da'e Coll' as sleih elley.","Oh, in my free time I like knitting, and I like sewing, when I'm at home. And for outdoor stuff I like waking, I like walking in the hills. And I like dancing too. At the moment me and Chris go - and Ealee - go to Douglas and we dance the Irish stuff, 'set' with Da'e Coll' and other people."
part two 'free time',Dot Saunders,"Well, cha nel monney traa seyr aym er yn oyr dy vel mee feer tarroogh ooilley yn traa, agh ta mee feer tarroogh jannoo reddyn mie. S'mie lhiam snaue as ta mee goll dys y loghan-snaue ayns Purt- Purt ny hInshey, gow my leshtal, dagh laa son snaue. S'mie lhiam shooyl as ta mee jannoo yn Shooyl ny Skeeraghyn yn vlein shoh, reesht. Ta mee prowal dy cur jerrey er yn vlein shoh çheet. As cre elley? Ta mee goaill arrane lesh Caarjyn Cooidjagh, as s'mie lhiam gobbraghey ayns my garey. As ta mee jannoo- ta mee shirrey fysseree mychione my shenn lught-thie, er y co-earrooder tra va mee ayns shoh, as tra ta mee ayns Sostyn ta mee goll dys oik-recortyssyn as shirrey fysseree elley.","Well, I don't have much free time because I'm busy all the time, but I'm busy doing good things. I like swimming and I go to the swimming pool in Port- Peel, sorry, every day for a swim. I like walking and I'm doing the Parish Walk this year, again. I'm trying to finish it this year. And what else? I sing with Caarjyn Cooidjagh, and I like working in my garden. And I do- I look for information about my ancestors, on the computer when I'm here, and when I'm in England I go to records offices and look for other information."
part two 'free time',Jane Martin,"Well, s'mie lhiam gynsaghey Gaelg, as s'mie lhiam shooyl mygeayrt yn çheer as yn traie, as share lhiam gobbraghey ayns my gharey, as my gharey-lossyragh.","Well, I like learning Manx, and I like walking around the country and on the beach, and my favourite thing is working in my garden, and my vegetable garden."
part two 'free time',Maralyn Crellin,"S'mie lhiam ceau traa marish my lught-thie, s'mie lhiam goll ersooyl er turrysyn, s'mie lhiam jannoo Gaelg, gyn ourys; lhaih as crittal as ronsaghey my lught-thie, as shooyl, as foddee dy vel shen eh!","I like spending time with my family, I like going away on trips, I like doing Manx, definitely; reading and knitting and researching my family, and walking, and that's probably it!"
part two 'free time',Ealee Sheard,"Son y chooid smoo ta mee goll dys y thie-oast as cloie kiaull. Ta mee jannoo shen bunnys dagh laa. Va mee ayns O'Donnell's riyr jannoo seshoon Yernish ayns shen. As ta mee jannoo daunley, neesht; ta mee jannoo daunlaghyn Yernish ayns possan oie Jerdein, as ta mee jannoo daunlaghyn Manninagh neesht ayns Perree Bane.","For the most part I go the pub and play music. I do that almost every day. I was in O'Donnell's last night doing an Irish session there. And I dance, too; I do Irish dances in a group on Thursday night, and I do Manx dances too, in Perree Bane."
part two 'free time',Cathy Clucas,"Gow my leshtal ta mee garaghtee ec shen. Cha nel monney traa seyr aym ec y traa t'ayn agh s'mie lhiam lhaih lioaryn, as jeeaghyn er fillymyn, as shooyl er y çheer as trooid yn sleityn, as- cre'n red elley mie lhiam? As geaishtagh rish kiaull. Shen eh.","Sorry I'm laughing at that. I don't have much free time at the moment but I like to read books, and watch films, and walk in the country and through the hills, and- what other things do I like? And listening to music. That's it."
part two 'free time',Aalin Clague,"S'mie lhiam lhaih. As s'mie lhiam geaishtagh rish kiaull, croo kiaull, as goaill ayrn ayns kiaull. S'mie lhiam shooyl, eer shooyl beg mygeayrt Purt ny hInshey ny harrish ny sleityn, as s'mie lhiam roie neesht. S'mie lhiam jannoo ram reddyn. Coagyrey neesht. Shen dy liooar, foddee.","I like reading. And I like listening to music, creating music, and taking part in music. I like walking, even a little walk around Peel or over the hills, and I like running too. I like doing a lot of things. Cooking too. That's enough, probably."
part two 'free time',Marie Clague,"S'mie lhiam goll cosheeaght, goll cosheeaght ayns ny glionteenyn as er ny crink, er ny traieyn, as reddyn myr shen. S'mie lhiam cloie marish my oeghyn as goaill kiarail jeu. S'mie lhiam lhaih; ta mee lhaih ram lioaryn, dy chooilley sorçh dy lioaryn, as geaishtagh rish kiaull; dy chooilley sorçh dy kiaull, kiaull tradishoonagh as kiaull classicagh.","I like going walking, going walking in the glens and in the hills, on the beaches, and things like that. I like playing with my grandchildren and taking care of them. I like reading; I read a lot of books, all sorts of books, and listening to music; all sorts of music, traditional music and classical music."
part two 'free time',Phil Gawne,"Well, lhisin's gra, ""Cha nel tra seyr aym's er chor erbee"" er y fa dy vel mee foddey ro tarroogh, agh s'mie lhiam gobbraghey er y thalloo. Shen yn red ta cur foays da my chree; geddyn ooir er my laueyn as just jannoo reddyn er y thalloo. Shen yindyssagh.","Well, I ought to say, ""I don't have free time at all"" because I'm far too busy, but I like working on the land. That's what cheers me up; getting earth on my hands and just doing things on the land. That's wonderful."
part two 'free time',Geoff Pickles,"Erskyn ooilley s'mie lhiam shooyl. S'mie lhiam shooyl er fud ny çheerey Vannin er yn oyr dy vel eh cho aalin; harrish ny crink, er y traie, ayns ny glionteenyn; ta shen ooilley yindyssagh ayns Mannin. Tra t'eh fliugh, tra t'eh grianagh, tra ta geay vooar ayn; ta shen ooilley yindyssagh. As, well, ta mee cooney lesh yn obbyr ec Laare Ellynyn Phurt Çhiarn, as ta shen feer scanshoil, obbyr feer scanshoil, er lhiam. As- cre elley? Well, ta mee jeeaghyn er y çhellveeish as lhaih ny pabyr naightyn.","Above all I like walking. I like walking through the Manx countryside because it's so beautiful; over the hills, on the beach, in the glens; that's all wonderful on the Isle of Man. When it's wet, when it's sunny, when it's blowing a gale; that's all wonderful. And, well, I help with the work at the Erin Arts Centre, and that's very important. very important work, I think. And- what else? Well, I watch the television and read the newspapers."
part two 'free time',Doona Lambden,"Ayns my traa seyr s'mie lhiam jannoo kiaull, as ta mee cloie violin, as harp, as pianey, as guitar, as ta mee goaill arrane. As ta mee cloie violin ayns y Manx Youth Orchestra, as club-kiaull ayns shoh. As ayns Averil ta mee goll dys y Chorn dy chloie ayns y Celtic Congress thing. As, neesht, s'mie lhiam cloie er my co-earrooder, as s'mie lhiam cloie Skyrim, as t'eh feer vie. ","In my free time I like making music, and I play the violin, and harp, and piano, and guitar, and I sing. And I play violin in the Manx Youth Orchestra, and the music club here. And in April I'm going to Cornwall to play in the Celtic Congress thing. And, also, I like playing on my computer, and I like playing Skyrim, and it's really good."
part three 'home',Peddyr Hayhurst,"Mie dy liooar. Ta mee cummal ayns Purt le Moirrey, ta mee cummal ayns Fistard, ta shen balley beg çheerey faggys da'n balley mooar jeh Purt le Moirrey. Ta Fistard just çheu elley jeh yn coorse golf. As s'mie lhiam Fistard, as s'mie lhiam Purt le Moirrey. T'eh co-phobble mie ayns shoh. S'mie lhiam yn scoill, s'mie lhiam yn keeill ayns shoh. So, ta thie aym's, ta shen thie lomarcan, as garey beg, well, garey just mooar dy liooar son bluckan coshey as blaa ny ghaa agh cha nel monney. Ta'n reayrt yindyssagh voish my hie, reayrt harrish yn magher ec Mainshter Maddrell dys yn keayn, as s'mie lhiam jeeaghyn ass yn uinnag as jeeaghyn er yn cheayn, as smooinaghtyn dy vel yn emshyr mie, ny drogh-emshyr ayn. As s'mie lhiam cummal ayns Purt le Moirrey er y fa dy vel eh kiune. S'mie lhiam shen. Cha nel monney sleih ratçhal  mygeayrt ooilley yn traa ayns Purt le Moirrey; ta traa dy liooar dy scuirr as loayrt as scuirr as smooinaghtyn.","Alright. I live in Port St. Mary, I live in Fistard, that's a village near the big town of Port St. Mary. Fistard is just the other side of the golf course. And I like Fistard, and I like Port St. Mary. It's a good community here. I like the school, I like the church here. So, I have a house, it's a detached house, and a small garden, well, a garden just big enough for football and a few flowers but not many. The view is wonderful from my house, a view over Mr. Maddrell's field to the sea, and I like looking out of the window as looking at the sea, and thinking that the weather is good, or there's bad weather. And I like living in Port St. Mary because it's calm. I like that. There aren't many people racing  around all the time in Port St. Mary; there's enough time to stop and talk and stop and think."
part three 'home',Annie Kissack,"Well, ta mee cummal ayns boayl fadaneagh, ersooyl voish sleih elley ayns y jiass jeh'n Ellan faggys da'n Sloc, as cha nel peiagh erbee rieau toiggal craad t'eh tra ta mee prowal dy soilshaghey daue, agh t'eh boayl feer bwaagh as aalin. Oddagh shin fakin ooilley'n jiass jeh'n Ellan voish yn thie ain, as ny sleityn neesht. Boayl feer kiune agh feer aalin dy jarroo.","Well, I live in a remore place, away from other people in the south of the Island near to the Sloc, and nobody ever understands when I try to explain to them, but it's a very beautiful and pretty place. We could see all the south of the Island from our house, and the hills too. A very calm place and very beautiful indeed. I live in Port St. Mary and I live in an old house on the main road in Port St. Mary. I like Port St. Mary; I was raised here, and all my family , probably for years and years. Before that I lived on the promenade in Port St. Mary and that was alright. There was a wonderful view from the flat I had, and that was great, but as I said I now live on the main road. And I like Purt le Moirrey, definitely, it's nice. It's a shame there aren't many shops now, but it's definitely a great place. "
part three 'home',Claudia Koenig,"Well, ta mee cummal ayns Fistard, ta shen ayns Purt le Moirrey, as ta'n thie ain er y cronk, as shen dy gra ta reayrt yindyssagh ain voish yn thie dys y cheayn, as fodmayd shooyl voish y thie dys y Cheyllys as ta shen yindyssagh. S'mie lhiam yn boayl shoh. Ta mee Mie dy liooar.","Well, I live in Fistard, that's in Port St. Mary, and we have a house on the hill, and that means there's a wonderful view from the house to the sea, and we can walk from the house to The Sound and that's great. I like this place."
part three 'home',Adrian Cain,"Ta mee cummal ayns Purt le Moirrey as ta mee cummal ayns shenn thie er yn traid vooar ayns Purt le Moirrey. S'mie lhiam Purt le Moirrey; va mee troggit ayns shoh, as ooilley my lught-thie, foddee rish bleeantyn as bleeantyn. Roish shen va mee cummal er yn çhooylaghan ayns Purt le Moirrey as va shen mie dy liooar. Va reayrt yindyssagh jeeaghyn voish yn cummal-rea v'aym's, as va shen yindyssagh, agh myr dooyrt mee nish ta mee cummal er yn traid vooar.  As s'mie lhiam Purt le Moirrey, gyn dooyt erbee, t'eh jesh. S'bastagh nagh vel monney shappyn ayn nish, but gyn dooyt erbee she boayl yindyssagh t'ayn.","I live in Port St. Mary and I live in an old house on the main road in Port St. Mary. I like Port St. Mary; I was raised here, and all my family, probably for years and years. Before that I lived on the promenade in Port St. Mary and that was alright. There was a wonderful view from the flat I had, and that was great, but as I said I now live on the main road. And I like Purt le Moirrey, definitely, it's nice. It's a shame there aren't many shops now, but it's definitely a great place."
part three 'home',Hayley O'Meara ,"Mie dy liooar. Ta mee cummal ayns Purt Çhiarn, ta mee cummal er my lomarcan ayns Purt Çhiarn, agh ta lught-thie ayms, t'ad cummal ayns Purt le Moirrey so ta mee ceau ram traa ayns Purt le Moirrey, ec Yn Ablyt.","Alright. I live in Port Erin, I live on my own in Port Erin, but my family, they live in Port St. Mary so I spend a lot of time in Port St. Mary, at The Albert."
part three 'home',Julie Matthews,"Ta mee cummal ayns Forsdal. Cha nel monney goll er ayns Forsdal er cor erbee. Ta mish ayns Forsdal Injil; cha nel eer shapp ayns shen. As nish ren ad caghlaa yn raad t'ou cur yn post so t'eh ro veg dy chur parsyl mooar stiagh ny lettyr mooar stiagh agh- as t'ou meeteil yn sleih ta cummal ayns shen tra t'eh ceau sniaghtey. Cha nel monney sleih çheet magh ass yn thieyn. Ta enney aym's er ram jeu er y fa dy row mee cummal ayns shen rish mysh feed bleeantyn nish, as- or ny smoo na shen. As er y fa dy ren mee ny Roiederyn marish Jamys ren mee meeteil rish ram sleih ayns shen, so.","I live in Foxdale. Not much goes on in Foxdale at all. I'm in Lower Foxdale; there's not even a shop there. And now they've changed where you put the post so it's too small to put a big parcel or a big letter in but- and you meet the people who live there when it's snowing. Not  many people come out of their houses. I know a lot of them because I have lived there for about twenty years now, and- or more than that. And because I did the Couriers with James I met a lot of people there, so."
part three 'home',Dot Saunders,"Ta mee cummal ayns Skylley Maayl, t'eh balley beg faggys da'n keayn as dagh laa t'eh çheet dy ve ny smoo faggys da'n keayn er yn oyr dy vel yn tonnyn tuittym er ny eaynin as gow ersooyl yn thalloo dagh laa.","I live in Kirk Michael, it's a small town near the sea and every day it get's nearer to the sea because the waves fall on the cliffs and take the land away every day."
part three 'home',Jane Martin,"Ta mee cummal ayns Sulby, balley beg çheerey ayns y Twoaie; as daa cheeill ayn, daa hie lhionney ayn, as ta glion ayns Sulby feer aalin, as ta awin Sulby s'liauyrey ayns Mannin. As t'eh ny boayl share ayns Mannin, er lhiam's.","I live in Sulby, a village in the North; and there are two churches, two pubs, and the glen in Sulby is very beautiful, and the Sulby river is the longest on the Isle of Man. And it's the best place on the Isle of Man, I think."
part three 'home',Derek Phillips,"Well, ta mee beaghey ayns Balley Cashtal agh roish shen va mee beaghey ayns Doolish, as haink mee gys Balley Cashtal, oh, foddee daeed bleeantyn er dy henney nish. As er my hon hene she yn boayl share 'syn Ellan, ta shen er my hon hene ansherbee. As ta'n thie ta mee beaghey ayn lesh yn Barrantagh Balley Cashtal, as ta garey ayn cooyl yn thie as, va mee er çhee gra, va mee laccal gobbraghey ayns y gharey as- cre mychione yn balley ish hene? Cha noddym's gra veg mychione y valley, just s'mie lhiam yn valley. Ta.","Well, I live in Castletown but before that I lived in Douglas, and I came to Castletown, oh, probably forty years ago now. And for me it's the best place on the Island, that's for myself anyway. And the house I live in belongs to the Castletown Commissioners, and there's a garden at the back of the house and, I was about to say, I was wanting  to work in the garden and- what about the town itself? I can't say much about the the town, just I like the town. Aye."
part three 'home',Ealee Sheard,"Well, ta mee cummal ayns Doolish ec y traa t'ayn lesh kiare caarjyn elley voish scoill as voish boayl erbee elley, as ta shin ooilley cummal faggys da Ard-Scoill Noo Ninian so cha nel eh ro foddey ersooyl son yn obbyr; foddym shooyl stiagh dagh laa, as t'eh ymmydoil son goll magh er yn oie as yn lhied; cha nel eh ro foddey dy gholl dy valley. Cha row mee ayn son traa feer liauyr ayns shen; roish Jerrey-Fouyir, er lhiam's, ren mee goll stiagh 'sy thie shen. Agh t'eh thie mooar; smie shen, agh t'eh beggan feayr. As eisht Forsdal, well, cha nel monney goll er ayns Forsdal agh va mee cummal ayns shen lesh my paarantyn son feed blein ny red erbee myr shen. Ta mee goll erash ny keayrtyn son jinnair. Ta my voir coagyrey feer vie agh ta mee just goll erash mysh un keayrt ayns kegeesh. Shen ooilley.","Well, I live in Douglas at the moment with four other friends from school and from other places, and we all live near to St. Ninian's High School so it's not too far away for work; I can walk in every day, and it's usefeul for going out at night and the like; it's not too far to go home. I haven't been there for a long time; before October, I think, I went to that house. But it's a big house; I like that, but it's a bit cold. And then Foxdale, well, there's not much going on in Foxdale but I lived there with my parents for twenty years or something like that. I go back sometimes for dinner. My mum cooks really well but I just go back about once a fortnight. That's all."
part three 'home',Aalin Clague,"Ta mee cummal ayns Purt ny hInshey ayns Straid Vona, shen faggys da'n ard-keeill. She sorçh dy shenn thie lesh tree laareyn ayn. As ta mee er cummal mygeayrt yn Ellan ayns ram buill harrish my vea.","I live in Peel on Mona Street, that's near to the cathedral. It's a sort of old house with three floors. And I've lived around the Island in lots of places in my life."
part three 'home',Marie Clague,"Ta shin er chummal ayns Purt ny hInshey nish son shiaght as feed bleeantyn. Roish shen va shin cummal faggys da Purt ny hInshey ayns Knock Sharree, as faggys da Cronk y Voddee. S'mie lhiam cummal ayns Purt ny hInshey; she'n ard valley mie.","We've lived in Peel now for twenty seven years. Before that we lived near Peel at Knocksharry, and near Cronk y Voddy. I like living in Peel; it's a nice town."
